tiempo,salida,entrada
0.1,0.0440403,0.0
0.2,-0.0497595,0.0
0.3,-0.1452340,0.0
0.4,-0.0700048,0.0
0.5,-0.0191216,0.0
0.6,-0.1109600,0.0
0.7,-0.5483030,0.0
0.8,-0.3581261,0.0
0.9,0.1631480,0.0
1.0,0.0352813,0.0
1.1,-0.0077810,0.0
1.2,-0.4095546,0.0
1.3,-0.1679829,0.0
1.4,0.1521374,0.0
1.5,-0.1912598,0.0
1.6,0.3315867,0.0
1.7,0.1326990,0.0
1.8,0.1103721,0.0
1.9,0.1470901,0.0
2.0,-0.1767541,0.0
2.1,0.0915558,0.0
2.2,-0.0052940,0.0
2.3,-0.0713834,0.0
2.4,-0.0835221,0.0
2.5,-0.0994404,0.0
2.6,0.3342286,0.0
2.7,-0.0788399,0.0
2.8,0.3598804,0.0
2.9,0.0382355,0.0
3.0,0.1227196,0.0
3.1,0.4280464,0.0
3.2,-0.1956350,0.0
3.3,-0.0353887,0.0
3.4,-0.2788355,0.0
3.5,-0.4883283,0.0
3.6,-0.1559054,0.0
3.7,-0.1686457,0.0
3.8,0.1892417,0.0
3.9,-0.0023578,0.0
4.0,0.4681738,0.0
4.1,-0.1325350,0.0
4.2,-0.0986573,0.0
4.3,0.4993364,0.0
4.4,-0.1620421,0.0
4.5,0.1113840,0.0
4.6,0.1511130,0.0
4.7,0.3044569,0.0
4.8,0.3111134,0.0
4.9,0.0526301,0.0
5.0,0.2589837,0.0
5.1,-0.0745373,0.0
5.2,-0.2981079,0.0
5.3,0.3439232,0.0
5.4,-0.2476738,0.0
5.5,0.1442063,0.0
5.6,-0.2748282,0.0
5.7,-0.3501623,0.0
5.8,-0.4259091,0.0
5.9,-0.1031414,0.0
6.0,-0.0549005,0.0
6.1,0.1522334,0.0
6.2,0.2972956,0.0
6.3,0.1843458,0.0
6.4,0.0435581,0.0
6.5,-0.3202603,0.0
6.6,-0.3679324,0.0
6.7,0.1081644,0.0
6.8,-0.1460918,0.0
6.9,0.0232498,0.0
7.0,-0.1454351,0.0
7.1,0.2309552,0.0
7.2,-0.1685720,0.0
7.3,-0.1686228,0.0
7.4,-0.0180097,0.0
7.5,0.1656200,0.0
7.6,0.1831194,0.0
7.7,0.1745785,0.0
7.8,0.0396204,0.0
7.9,0.0248494,0.0
8.0,0.3339724,0.0
8.1,-0.1452495,0.0
8.2,-0.0198163,0.0
8.3,-0.1396341,0.0
8.4,-0.2151783,0.0
8.5,-0.3051378,0.0
8.6,-0.2519701,0.0
8.7,-0.3881948,0.0
8.8,0.1979201,0.0
8.9,0.0379660,0.0
9.0,0.0820988,0.0
9.1,0.3618536,0.0
9.2,0.1412826,0.0
9.3,0.1725340,0.0
9.4,-0.0737417,0.0
9.5,0.0657487,0.0
9.6,-0.0952005,0.0
9.7,0.1255379,0.0
9.8,0.2721886,0.0
9.9,-0.0505966,0.0
10.0,0.0508823,0.0
10.1,0.3247839,0.0
10.2,-0.1809183,0.0
10.3,0.0381041,0.0
10.4,-0.0104361,0.0
10.5,0.0780944,0.0
10.6,-0.2719693,0.0
10.7,0.2186920,0.0
10.8,-0.3286571,0.0
10.9,0.0556452,0.0
11.0,0.0529365,0.0
11.1,0.4596925,0.0
11.2,0.2035275,0.0
11.3,-0.1123844,0.0
11.4,-0.2752207,0.0
11.5,0.4581744,0.0
11.6,0.3969178,0.0
11.7,0.0998272,0.0
11.8,-0.0230412,0.0
11.9,-0.0308390,0.0
12.0,-0.0319583,0.0
12.1,0.1816079,0.0
12.2,0.0190730,0.0
12.3,0.0031121,0.0
12.4,0.0101500,0.0
12.5,0.3327734,0.0
12.6,-0.2206115,0.0
12.7,-0.1169241,0.0
12.8,-0.0915734,0.0
12.9,-0.1358424,0.0
13.0,0.1298458,0.0
13.1,-0.2356547,0.0
13.2,0.2443499,0.0
13.3,-0.1735746,0.0
13.4,0.2867569,0.0
13.5,-0.1746270,0.0
13.6,0.3124720,0.0
13.7,-0.2259968,0.0
13.8,-0.2378153,0.0
13.9,0.0276064,0.0
14.0,0.2436903,0.0
14.1,0.3289879,0.0
14.2,-0.0835628,0.0
14.3,0.0083803,0.0
14.4,0.2946923,0.0
14.5,0.0540643,0.0
14.6,0.3103483,0.0
14.7,-0.3330314,0.0
14.8,-0.1120762,0.0
14.9,-0.0653722,0.0
15.0,0.0758088,0.0
15.1,-0.2618184,0.0
15.2,0.2480913,0.0
15.3,0.1317997,0.0
15.4,-0.1223503,0.0
15.5,0.3076282,0.0
15.6,0.0526733,0.0
15.7,-0.0012173,0.0
15.8,-0.0526535,0.0
15.9,-0.2413116,0.0
16.0,0.1603775,0.0
16.1,0.1489875,0.0
16.2,-0.3522069,0.0
16.3,0.1122039,0.0
16.4,0.0979561,0.0
16.5,0.3433942,0.0
16.6,0.2097528,0.0
16.7,-0.1378210,0.0
16.8,0.2922340,0.0
16.9,0.1144072,0.0
17.0,0.0541525,0.0
17.1,0.1673425,0.0
17.2,0.1425318,0.0
17.3,0.1374036,0.0
17.4,0.2153838,0.0
17.5,-0.1763315,0.0
17.6,0.1387999,0.0
17.7,-0.0384888,0.0
17.8,0.2851514,0.0
17.9,-0.0280501,0.0
18.0,-0.3686726,0.0
18.1,-0.3919846,0.0
18.2,0.3155766,0.0
18.3,0.3723021,0.0
18.4,0.0164076,0.0
18.5,-0.1143259,0.0
18.6,0.2562392,0.0
18.7,-0.3779713,0.0
18.8,0.0868536,0.0
18.9,-0.0505277,0.0
19.0,0.2910650,0.0
19.1,0.0301756,0.0
19.2,0.2708695,0.0
19.3,0.0348193,0.0
19.4,-0.2969609,0.0
19.5,-0.1231699,0.0
19.6,0.3448547,0.0
19.7,0.2392487,0.0
19.8,-0.4051763,0.0
19.9,0.3745086,0.0
20.0,0.2004079,0.0
20.1,-0.1645095,0.0
20.2,-0.0279993,0.0
20.3,-0.0635256,0.0
20.4,-0.3299864,0.0
20.5,0.4780736,0.0
20.6,-0.1182317,0.0
20.7,0.1266813,0.0
20.8,0.0762887,0.0
20.9,-0.2086764,0.0
21.0,0.2657471,0.0
21.1,-0.0262622,0.0
21.2,-0.1658132,0.0
21.3,-0.0611659,0.0
21.4,0.1323841,0.0
21.5,0.1961418,0.0
21.6,-0.5492596,0.0
21.7,0.2515760,0.0
21.8,0.1170051,0.0
21.9,0.1152531,0.0
22.0,0.0315929,0.0
22.1,-0.0553581,0.0
22.2,-0.0304750,0.0
22.3,0.0907932,0.0
22.4,-0.1061974,0.0
22.5,0.0956624,0.0
22.6,-0.1158828,0.0
22.7,0.1364585,0.0
22.8,0.3428296,0.0
22.9,-0.1038880,0.0
23.0,-0.4074958,0.0
23.1,0.4406803,0.0
23.2,0.2192723,0.0
23.3,-0.3811460,0.0
23.4,0.0121148,0.0
23.5,0.1546913,0.0
23.6,0.1636464,0.0
23.7,-0.0146420,0.0
23.8,0.1159845,0.0
23.9,0.0903332,0.0
24.0,0.0756780,0.0
24.1,0.0053090,0.0
24.2,-0.2270885,0.0
24.3,0.3177695,0.0
24.4,0.0770786,0.0
24.5,0.2904907,0.0
24.6,-0.2172286,0.0
24.7,-0.2127523,0.0
24.8,0.4717133,0.0
24.9,0.0283407,0.0
25.0,-0.3420609,0.0
25.1,-0.2185268,0.0
25.2,0.1880356,0.0
25.3,-0.1519526,0.0
25.4,0.0368700,0.0
25.5,-0.1840111,0.0
25.6,-0.1394497,0.0
25.7,-0.1336236,0.0
25.8,-0.0673416,0.0
25.9,-0.2298464,0.0
26.0,-0.1787014,0.0
26.1,-0.3064508,0.0
26.2,-0.0463971,0.0
26.3,-0.0421554,0.0
26.4,0.1036543,0.0
26.5,0.0406578,0.0
26.6,-0.1329298,0.0
26.7,0.1249131,0.0
26.8,-0.4351798,0.0
26.9,0.1231301,0.0
27.0,-0.2322413,0.0
27.1,0.1243556,0.0
27.2,-0.1752426,0.0
27.3,-0.1180776,0.0
27.4,0.2154816,0.0
27.5,-0.1503392,0.0
27.6,0.2228541,0.0
27.7,0.0008534,0.0
27.8,0.0794230,0.0
27.9,-0.3136576,0.0
28.0,-0.0769542,0.0
28.1,-0.3254461,0.0
28.2,-0.5222367,0.0
28.3,0.0055859,0.0
28.4,0.0078210,0.0
28.5,-0.0041394,0.0
28.6,0.0974609,0.0
28.7,0.1860813,0.0
28.8,0.0984025,0.0
28.9,0.3691035,0.0
29.0,-0.0167293,0.0
29.1,-0.1396350,0.0
29.2,-0.1542121,0.0
29.3,-0.2676429,0.0
29.4,-0.1746015,0.0
29.5,0.0702919,0.0
29.6,0.1443639,0.0
29.7,0.1443826,0.0
29.8,0.0303514,0.0
29.9,0.0362804,0.0
30.0,0.0168624,0.0
30.1,-0.1404753,0.0
30.2,0.1128298,0.0
30.3,0.2857305,0.0
30.4,-0.1681802,0.0
30.5,0.0811987,0.0
30.6,-0.1465176,0.0
30.7,0.0040419,0.0
30.8,0.2506064,0.0
30.9,-0.1719498,0.0
31.0,0.0160196,0.0
31.1,-0.5149093,0.0
31.2,0.0451006,0.0
31.3,0.4884167,0.0
31.4,0.1687371,0.0
31.5,-0.2480924,0.0
31.6,-0.1471683,0.0
31.7,0.0165958,0.0
31.8,-0.2509897,0.0
31.9,0.1804197,0.0
32.0,-0.2977198,0.0
32.1,-0.2916472,0.0
32.2,-0.0445566,0.0
32.3,-0.0459444,0.0
32.4,-0.2159185,0.0
32.5,-0.1946515,0.0
32.6,0.0300014,0.0
32.7,0.1832263,0.0
32.8,-0.2963741,0.0
32.9,-0.0584401,0.0
33.0,0.1029560,0.0
33.1,0.1380211,0.0
33.2,-0.0226219,0.0
33.3,0.1058455,0.0
33.4,0.0539320,0.0
33.5,-0.0917087,0.0
33.6,0.1554768,0.0
33.7,0.0078782,0.0
33.8,0.0962886,0.0
33.9,0.1140920,0.0
34.0,0.2926374,0.0
34.1,0.1302833,0.0
34.2,-0.0361626,0.0
34.3,-0.2804937,0.0
34.4,-0.3840058,0.0
34.5,0.0375245,0.0
34.6,-0.0398156,0.0
34.7,-0.0410666,0.0
34.8,0.2570206,0.0
34.9,-0.1083502,0.0
35.0,-0.1763278,0.0
35.1,-0.0662380,0.0
35.2,0.0227540,0.0
35.3,-0.0559837,0.0
35.4,-0.1989898,0.0
35.5,0.0056699,0.0
35.6,0.4583581,0.0
35.7,0.2013479,0.0
35.8,-0.2874234,0.0
35.9,0.1728380,0.0
36.0,-0.0220462,0.0
36.1,-0.0124172,0.0
36.2,-0.0712261,0.0
36.3,0.3280034,0.0
36.4,-0.3408096,0.0
36.5,0.0913924,0.0
36.6,0.0637695,0.0
36.7,-0.0210504,0.0
36.8,-0.1173110,0.0
36.9,0.4517591,0.0
37.0,0.3916122,0.0
37.1,-0.0112601,0.0
37.2,0.3112399,0.0
37.3,-0.1986263,0.0
37.4,-0.0208201,0.0
37.5,-0.2278488,0.0
37.6,0.0802271,0.0
37.7,0.2028515,0.0
37.8,0.1509462,0.0
37.9,0.3156629,0.0
38.0,0.0557186,0.0
38.1,0.0412037,0.0
38.2,0.1148670,0.0
38.3,-0.2482700,0.0
38.4,0.0280583,0.0
38.5,0.1569061,0.0
38.6,0.1390328,0.0
38.7,-0.0102412,0.0
38.8,0.0054632,0.0
38.9,-0.1298395,0.0
39.0,-0.2639212,0.0
39.1,-0.1953682,0.0
39.2,-0.0593269,0.0
39.3,0.0006719,0.0
39.4,0.4785718,0.0
39.5,0.0370510,0.0
39.6,0.0257875,0.0
39.7,-0.2638722,0.0
39.8,-0.1677614,0.0
39.9,0.2193103,0.0
40.0,0.1892652,0.0
40.1,0.0857371,0.0
40.2,0.2451734,0.0
40.3,-0.1131343,0.0
40.4,-0.0751726,0.0
40.5,0.2228548,0.0
40.6,-0.0759290,0.0
40.7,-0.0213868,0.0
40.8,-0.2217563,0.0
40.9,-0.2243816,0.0
41.0,0.1637368,0.0
41.1,0.1199187,0.0
41.2,0.0809154,0.0
41.3,-0.3001970,0.0
41.4,-0.2457244,0.0
41.5,-0.2104768,0.0
41.6,-0.1133063,0.0
41.7,0.0046739,0.0
41.8,0.0588475,0.0
41.9,0.0387805,0.0
42.0,0.0526452,0.0
42.1,0.0249846,0.0
42.2,-0.2286082,0.0
42.3,0.0887714,0.0
42.4,0.1964329,0.0
42.5,-0.4083158,0.0
42.6,-0.0996583,0.0
42.7,-0.1457329,0.0
42.8,0.1426299,0.0
42.9,-0.1797973,0.0
43.0,0.3508028,0.0
43.1,0.1022262,0.0
43.2,0.3800970,0.0
43.3,0.1511849,0.0
43.4,0.1112688,0.0
43.5,0.1342855,0.0
43.6,-0.0168874,0.0
43.7,0.0291509,0.0
43.8,0.3133343,0.0
43.9,0.1170266,0.0
44.0,0.2418413,0.0
44.1,-0.1032889,0.0
44.2,0.1428862,0.0
44.3,0.0562135,0.0
44.4,-0.0368971,0.0
44.5,-0.0336671,0.0
44.6,-0.1421424,0.0
44.7,-0.1630209,0.0
44.8,-0.5622395,0.0
44.9,-0.0923599,0.0
45.0,-0.1097683,0.0
45.1,0.4071465,0.0
45.2,0.1572485,0.0
45.3,-0.1849520,0.0
45.4,-0.1522025,0.0
45.5,0.2609161,0.0
45.6,-0.3816769,0.0
45.7,0.0247476,0.0
45.8,0.2094902,0.0
45.9,0.1990857,0.0
46.0,-0.2592302,0.0
46.1,0.1047184,0.0
46.2,0.1723559,0.0
46.3,-0.1389908,0.0
46.4,0.0749767,0.0
46.5,0.0785914,0.0
46.6,-0.0126635,0.0
46.7,-0.2690259,0.0
46.8,0.1193538,0.0
46.9,0.0092058,0.0
47.0,0.3386328,0.0
47.1,0.0539936,0.0
47.2,-0.3839574,0.0
47.3,0.0165881,0.0
47.4,-0.0331506,0.0
47.5,-0.1467177,0.0
